X,Y,objectid,match_addr,company_name,nace_rev_2_code,kod,interval,odvětví,industry
16.613628127,49.2000691910001,5867,"Příkop 843/4, 602 00, Zábrdovice, Brno-střed, Brno, Brno-město, Jihomoravský kraj","TVARtech - stroje, s.r.o.",461,46,10 - 19,Velkoobchod,Wholesale trade
16.602579857,49.1392478810001,5868,"Vídeňská 51/122, 619 00, Přízřenice, Brno-jih, Brno, Brno-město, Jihomoravský kraj",Roman Million Wood s.r.o.,162,16,10 - 19,Podpůrné činnosti pro zemědělství a posklizňové činnosti,Support activities to agriculture and post-harvest crop activities
16.5727512620001,49.243449228,5869,"V Újezdech 565/6, 621 00, Medlánky, Brno-Medlánky, Brno, Brno-město, Jihomoravský kraj","Cetecho Surface, s.r.o.",6820,68,10 - 19,Činnosti v oblasti nemovitostí,Real estate activities
16.621171169,49.2571751400001,5870,"Kobylín 349/5, 644 00, Soběšice, Brno-sever, Brno, Brno-město, Jihomoravský kraj",Lerch KOVO s.r.o.,256,25,10 - 19,"Výroba kovových výrobků, kromě strojů a zařízení","Manufacture of fabricated metal products, except machinery and equipment"
16.5682838750001,49.218942471,5871,"Strmá 2811/63, 616 00, Žabovřesky, Brno-Žabovřesky, Brno, Brno-město, Jihomoravský kraj",TrendBit s.r.o.,3320,33,10 - 19,Podpůrné činnosti pro rybolov a akvakulturu,Support activities for fishing and aquaculture
16.631361552,49.1991307120001,5872,"Tomáškova 653/2, 615 00, Zábrdovice, Brno-Židenice, Brno, Brno-město, Jihomoravský kraj",U Badinu s.r.o.,5610,56,10 - 19,Poskytování stravování a podávání nápojů,Food and beverage service activities
16.6055936540001,49.17616589,5873,"Pražákova 1008/69, 639 00, Štýřice, Brno-střed, Brno, Brno-město, Jihomoravský kraj",ZF CV Distribution Czech Republic s.r.o.,4520,45,10 - 19,"Velkoobchod, maloobchod a opravy motorových vozidel",Wholesale and retail trade and repair of motor vehicles and motorcycles
16.569539568,49.198404671,5874,"Kalvodova 114/13, 602 00, Pisárky, Brno-střed, Brno, Brno-město, Jihomoravský kraj",Architektonická kancelár Burian-Krivinka s.r.o.,711,71,10 - 19,Těžba železných rud,Mining of iron ores
16.5903458820001,49.2190559200001,5875,"Dobrovského 1310/64, 612 00, Královo Pole, Brno-Královo Pole, Brno, Brno-město, Jihomoravský kraj","KONREO, v.o.s.",6920,69,10 - 19,Právní a účetnické činnosti,Legal and accounting activities
16.581265096,49.2260839370001,5876,"Purkyňova 71/99, 612 00, Královo Pole, Brno-Královo Pole, Brno, Brno-město, Jihomoravský kraj",windMax s.r.o.,4322,43,10 - 19,Specializované stavební činnosti,Specialised construction activities
